2,1,2,0,67,75,198,201,205,127,106,77,140,152,102,135,133,214,141,130,83,132,124,159,137,62,88,120,94,115,173,125,84,133,69,192,36,151,212,210,126,177,1,0
2,2,0,0,0,0,0,0,36,46,126,56,99,260,143,95,88,93,11,96,31,24,271,138,187,80,76,131,71,179,165,176,150,154,71,89,135,71,83,21,76,120,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,204,2,10,46,4,4,70,78,112,110,127,30,1,7,5,26,6,10,1,3,1,34,30,15,0,1,2,19,83,0,0
2,0,0,0,0,5,0,6,0,0,0,9,8,8,2,66,3,8,13,124,107,1,5,23,1,26,97,102,8,2,2,6,8,0,0,129,40,0,1,1,3,54,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,81,132,13,120,6,2,50,59,1,12,3,1,1,0,3,11,1,23,2,25,0,1,49,47,3,0,1
1,0,0,0,0,0,0,0,0,9,7,36,25,17,29,0,96,15,0,80,22,34,131,15,0,6,70,3,2,0,0,1,1,1,2,0,0,4,1,0,0,4,0,0
1,0,0,0,0,55,4,54,0,1,0,56,55,1,27,135,2,6,9,2,3,0,0,0,1,1,39,23,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0
1,0,0,43,16,70,17,32,16,0,0,1,28,0,0,13,2,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,27,35,96,27,1,0,0,1,0,0
1,0,2,0,0,10,1,1,0,0,1,9,0,0,0,0,16,51,0,1,0,0,0,7,23,13,85,13,88,24,0,0,4,10,2,4,23,42,2,1,2,4,0,0
1,0,0,41,9,79,30,47,19,0,1,1,55,0,0,26,8,1,1,0,0,0,0,0,0,0,0,12,2,1,1,0,0,0,0,13,9,0,0,0,0,0,0,0
1,0,0,49,16,10,2,18,0,7,24,2,8,0,0,0,9,37,0,0,0,0,0,27,35,26,5,1,2,4,0,0,0,2,2,0,23,21,13,0,2,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,54,0,1,1,0,0,0,0,0,0,0,14,41,45,68,8,6,0,37,0,0,14,0,0,26,44,0,0,0
1,0,0,0,130,45,52,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0
